 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   0.210000000000000       CO2 =   4.000000000000000E-004
 
    CH4 =   1.600000000000082E-006
 Low CH3CL flux      =  9.733E+06

 PO2= 1.517E-01  PNO= 3.565E-02  ZAPNO= 3.768E+03
 N= 3     X= 6.98377E-01  ERR= 1.04174E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  5.00E+04 1.73E-10 4.07E-17 1.37E-02 5.12E-14 1.10E-11 1.10E-09 1.58E-08 6.76E-21 5.50E-07 1.60E-06 9.00E-08 9.15E-10
  1.50E+05 1.80E-10 5.66E-17 8.58E-03 5.95E-14 1.10E-11 1.14E-09 1.87E-08 7.43E-21 5.50E-07 1.60E-06 8.25E-08 9.00E-10
  2.50E+05 1.79E-10 8.10E-17 5.20E-03 6.90E-14 1.08E-11 1.13E-09 2.28E-08 8.20E-21 5.51E-07 1.59E-06 7.60E-08 8.22E-10
  3.50E+05 1.68E-10 1.16E-16 2.92E-03 7.78E-14 1.02E-11 1.02E-09 2.77E-08 8.86E-21 5.51E-07 1.59E-06 7.04E-08 6.79E-10
  7.50E+05 7.52E-11 3.98E-16 1.62E-04 9.03E-14 5.74E-12 3.88E-10 4.94E-08 9.41E-21 5.52E-07 1.58E-06 5.58E-08 1.75E-10
  1.15E+06 2.19E-11 1.39E-15 4.29E-06 1.02E-13 2.04E-12 6.80E-11 8.53E-08 1.07E-20 5.53E-07 1.58E-06 4.63E-08 1.92E-11
  1.55E+06 8.58E-12 2.95E-14 4.41E-06 7.69E-14 6.10E-13 1.57E-12 4.99E-07 8.68E-21 5.50E-07 1.52E-06 2.66E-08 4.74E-13
  1.95E+06 1.05E-11 3.85E-13 4.74E-06 1.78E-13 1.37E-12 3.41E-12 1.79E-06 2.18E-20 5.35E-07 1.36E-06 1.38E-08 5.43E-13
  2.35E+06 1.94E-11 3.19E-12 5.17E-06 6.75E-13 5.69E-12 2.40E-11 3.81E-06 1.35E-19 5.08E-07 1.15E-06 1.00E-08 1.92E-12
  2.75E+06 3.72E-11 2.17E-11 5.62E-06 3.22E-12 2.45E-11 1.52E-10 6.39E-06 1.48E-18 4.70E-07 9.42E-07 9.02E-09 5.57E-12
  3.15E+06 5.74E-11 1.24E-10 6.09E-06 1.60E-11 7.61E-11 4.15E-10 8.43E-06 3.02E-17 4.20E-07 7.24E-07 8.27E-09 7.41E-12
  3.55E+06 6.93E-11 6.28E-10 6.56E-06 6.95E-11 1.47E-10 3.86E-10 7.72E-06 9.23E-16 3.65E-07 5.14E-07 7.71E-09 5.09E-12
  3.95E+06 6.88E-11 3.04E-09 6.92E-06 2.29E-10 2.06E-10 2.15E-10 5.63E-06 2.50E-14 3.26E-07 3.43E-07 7.32E-09 2.96E-12
  4.35E+06 6.00E-11 1.41E-08 7.12E-06 5.09E-10 2.83E-10 1.53E-10 3.85E-06 4.48E-13 3.32E-07 2.31E-07 7.56E-09 2.40E-12
  4.75E+06 4.57E-11 4.70E-08 7.14E-06 7.52E-10 3.67E-10 1.25E-10 2.42E-06 3.78E-12 4.07E-07 1.70E-07 9.36E-09 2.42E-12
  5.15E+06 2.98E-11 1.08E-07 7.03E-06 9.28E-10 4.37E-10 1.08E-10 1.58E-06 1.75E-11 5.60E-07 1.39E-07 1.48E-08 2.22E-12
  5.55E+06 1.91E-11 2.01E-07 6.82E-06 1.10E-09 5.08E-10 1.04E-10 1.10E-06 5.98E-11 7.70E-07 1.22E-07 3.05E-08 1.85E-12
  5.95E+06 1.27E-11 3.38E-07 6.57E-06 1.34E-09 6.10E-10 1.07E-10 7.37E-07 1.93E-10 1.02E-06 1.11E-07 6.65E-08 1.51E-12
  6.35E+06 8.74E-12 4.86E-07 6.28E-06 1.79E-09 8.12E-10 1.46E-10 4.91E-07 5.87E-10 1.30E-06 1.01E-07 1.32E-07 1.17E-12
  6.75E+06 1.70E-11 6.69E-07 5.94E-06 2.93E-09 1.36E-09 2.74E-10 2.31E-07 2.36E-09 1.62E-06 9.07E-08 2.37E-07 8.73E-13
  7.15E+06 8.20E-11 7.89E-07 5.55E-06 6.07E-09 2.82E-09 6.98E-10 9.81E-08 1.02E-08 2.00E-06 7.92E-08 4.00E-07 6.14E-13
  7.55E+06 2.33E-10 1.16E-06 5.00E-06 1.16E-08 5.10E-09 1.33E-09 4.48E-08 5.09E-08 2.50E-06 6.57E-08 6.75E-07 3.49E-13
  7.95E+06 4.02E-10 2.41E-06 4.15E-06 2.07E-08 7.90E-09 1.53E-09 2.39E-08 3.28E-07 3.14E-06 4.97E-08 1.17E-06 1.23E-13
  8.35E+06 2.76E-10 1.28E-04 2.93E-06 2.25E-09 5.48E-10 1.82E-10 2.41E-07 2.05E-06 3.41E-06 3.47E-08 1.95E-06 1.68E-14
  8.75E+06 8.79E-11 1.03E-03 1.88E-06 6.64E-10 6.29E-11 1.56E-11 5.55E-07 3.77E-06 3.44E-06 2.28E-08 2.86E-06 2.05E-15
  9.15E+06 3.65E-11 3.55E-03 1.16E-06 2.20E-10 1.14E-11 1.29E-12 5.18E-07 4.87E-06 3.45E-06 1.45E-08 3.86E-06 2.54E-16
  9.55E+06 1.88E-11 8.19E-03 7.21E-07 6.84E-11 2.65E-12 1.04E-13 3.16E-07 5.45E-06 3.44E-06 9.43E-09 4.89E-06 3.28E-17
  9.95E+06 1.24E-11 1.48E-02 5.07E-07 1.97E-11 7.28E-13 1.26E-14 1.42E-07 5.65E-06 3.40E-06 6.94E-09 5.89E-06 6.36E-18
     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  

     Z        CH3O2    N2O      NO       NO2      HNO2     HNO3     HO2NO2   NO3      N2O5     CL2O2    CH3CL    HOCL    
